x1,x2,x3,x4,x5,x6,target
-32438.31402,326.5784313,-23.8197462,-8.622844403,-2.234071046,18.3340086,0
-26141.73067,17.03089898,-16.39098763,-12.71220003,-6.143111851,27.01626998,0
-15939.0734,-123.4285423,41.06625239,0.807527702,29.37933929,-37.58066455,0
-7561.186167,-111.4554537,24.4669173,18.73345886,-17.26403825,22.84843237,0
-33297.43452,351.1713846,-32.05480079,-20.98827261,-3.952755908,-2.841180437,0
-10757.53865,-75.82770493,28.61308886,19.00379298,-9.008426171,9.588797709,0
-34058.22703,514.7474726,-47.80051109,9.328848239,3.296690296,-0.99860171,0
10002.33564,-586.9925103,39.02272555,-15.23986294,32.26059738,30.58085186,1
-26688.73445,81.37771812,7.442511412,1.381987621,-6.612276798,4.55741751,0
8671.570189,-781.4046323,96.33265034,13.71077909,6.972139356,-35.75682263,0
-27176.2764,27.40633008,-9.10663697,-17.71375716,-3.033566132,27.531829,0
-33606.18196,426.4177595,-30.32390625,3.76357623,-10.52005801,-3.401455925,0
-29281.82673,268.1158939,-15.82343399,8.079048571,-3.009109573,10.16272087,0
-31597.21095,347.3514705,-14.81714578,9.716458061,4.97879172,-10.58911745,0
-33682.72884,461.4671658,-38.2508151,10.16647662,-6.195715018,2.277754325,0
-19206.82655,-9.918905576,13.810394,-0.194189578,-0.818547835,43.25417399,0
-34076.22948,511.206804,-48.22169446,6.930051655,-2.853953909,3.126424928,1
-32652.20688,311.4356681,-14.74534371,-15.94494314,8.917557193,-27.93510323,0
-27025.28329,46.98806982,14.49869016,-15.22556239,21.61381536,-35.25034584,0
-25254.12723,156.4900596,-0.06646997,10.37685768,-2.400551523,6.155754909,0
-24177.57454,-119.1460765,11.06304775,-19.80081724,-6.062725462,22.27114455,0
286029.4197,-5931.896753,175.3305321,-1.03058423,49.02581095,38.18000795,0
-29112.66265,223.9870655,-17.03108349,-6.231949621,4.370104433,17.84726262,0
-31051.57303,306.4646472,-7.998644822,1.791662469,14.29950115,-10.08608812,0
-27601.86276,-143.7513276,10.89768413,-61.83001908,31.37465845,-23.13637014,0
-33596.05244,459.7737528,-29.77928159,1.67820591,14.36960514,-20.32333611,0
-29963.57681,236.6826255,-12.24599431,4.174514385,-3.431235493,-0.916202912,0
-33286.30671,302.4475012,-30.44106209,-37.49108162,-19.89374894,6.160845754,0
-34064.16037,504.5875892,-41.44467303,7.375487134,-5.548054374,-3.277248692,0
-31463.06482,315.5144293,-24.04029271,0.423758277,-6.176849664,22.88810296,0
7962.803035,-295.4131306,68.46104398,42.29489506,-34.12472299,-12.31953505,0
-29976.09977,199.1449049,-11.15746307,-7.828581753,7.669555478,-16.8548517,0
-33395.03255,421.4563984,-30.0924995,4.087021476,-0.294223585,-1.272140201,0
-32393.8542,343.8613645,-25.20670052,3.850298269,-7.156602448,0.142228668,0
-3079.948962,-611.3314868,47.02401773,-12.45042487,9.868237637,7.362306868,0
3099.306361,-6.116156965,60.04234861,-14.25506007,2.309845392,105.3226139,0
-34008.87655,489.2414025,-44.32049233,1.641667843,-3.419982738,1.250426377,0
-33827.60744,476.0045746,-39.25644729,12.00852204,-7.165284303,1.311017103,0
-34130.51307,537.5746596,-54.34580367,19.76281747,-0.53229604,7.087590722,0
-33913.91061,503.1062061,-40.85657153,16.09591677,-1.15567147,2.434719774,0
-32373.35945,293.7293041,-25.8140381,-9.857936508,-11.41638796,11.53531153,0
14955.29897,-884.4803213,57.90886661,-6.647362378,7.647694235,18.62869217,0
